symbol,Beta
AAPL,0.9342
MSFT,1.1631
XOM,0.9762
AMZN,1.2148
JNJ,0.7635
FB,1.2246
BRKB,0.9353
GE,0.9932
T,0.6104
JPM,1.2761
PG,0.6299
GOOGL,1.1064
GOOG,1.1091
VZ,0.6561
PFE,0.8404
WFC,1.1108
CVX,1.1346
INTC,1.083
MRK,0.9169
KO,0.5768
BAC,1.3893
HD,0.9179
CMCSA,0.9393
CSCO,1.0121
V,1.4005
PEP,0.6538
DIS,0.9767
PM,0.7042
IBM,0.9128
C,1.4757
UNH,0.9582
AMGN,1.2718
MO,0.6088
MDT,0.9316
ORCL,1.0712
SLB,1.0897
WMT,0.6097
GILD,1.1542
MMM,0.8989
ABBV,1.0916
MCD,0.6767
QCOM,1.0268
MA,1.1493
CVS,0.8037
AGN,0.8925
BMY,0.9252
HON,1.0625
UNP,1.077
CELG,1.4394
UTX,0.918
BA,1.0806
LLY,0.8424
SBUX,0.8956
ACN,1.0361
UPS,0.8019
PCLN,1.282
TXN,1.1636
NKE,0.9972
USB,1.094
WBA,0.7251
BIIB,1.3856
COST,0.6718
AIG,1.1304
MDLZ,1.0316
AVGO,1.4899
LOW,0.9146
CL,0.7699
SPG,0.6934
TWX,0.9256
TMO,1.1553
GS,1.2875
ABT,1.1008
LMT,0.7347
DD,0.9365
DOW,1.2146
CB,0.7853
NEE,0.5612
OXY,1.108
DUK,0.4222
CHTR,0.9692
COP,1.368
KHC,0.8172
EOG,1.2277
ADBE,1.1928
AXP,0.9439
CAT,1.1391
TJX,0.8732
SO,0.3686
AMT,0.87
DHR,0.9899
F,1.1031
PYPL,1.058
MS,1.5356
D,0.5287
CRM,1.3847
KMB,0.7008
BLK,1.3958
PNC,1.1376
ESRX,0.8385
MON,0.8783
GM,1.0781
KMI,1.2199
FDX,1.0865
JCI,1.2689
BK,1.2319
MET,1.426
TGT,0.7064
RTN,0.7785
ADP,1.0471
NFLX,1.3955
HPE,1.6726
AET,1.0296
SYK,0.8806
RAI,1.1917
HAL,1.4263
GIS,0.6858
GD,0.9555
BDX,0.8459
MCK,0.9546
YHOO,1.2299
SCHW,1.6336
COF,1.2175
PSX,1.2745
PRU,1.4728
NOC,0.9091
CME,0.8194
ITW,1.0016
EBAY,0.9797
MMC,0.951
YUM,1.08
EMR,1.0917
NVDA,1.227
PX,0.8788
TRV,0.8168
SPGI,0.0663
CI,0.8015
ANTM,0.9874
PSA,0.6379
AMAT,1.2579
APC,1.5962
BSX,1.0586
ECL,1.0394
ICE,0.8639
CCI,0.6934
AEP,0.5347
REGN,1.3911
BBT,1.1086
PCG,0.5163
DAL,1.3224
PXD,1.3996
ETN,1.2719
SE,1.0716
AON,0.9559
EXC,0.6682
APD,1.0487
CSX,1.866
AFL,0.936
CTSH,1.2558
NSC,1.0871
WM,0.6153
KR,0.594
LYB,1.3891
PLD,0.9212
STZ,0.8419
STT,1.4148
PPG,1.2596
ISRG,0.8581
DE,0.8143
HPQ,1.0259
INTU,1.1399
SRE,0.669
HCN,0.5547
ALXN,1.6
ILMN,1.4592
ORLY,0.8743
HUM,0.7961
FOXA,1.0568
ALL,0.7869
SYY,0.5919
GLW,1.1015
EW,0.9205
CAH,0.9907
ROST,1.0161
FIS,1.0768
EQIX,0.9574
VLO,1.1993
LUV,1.1625
EA,1.0002
ATVI,1.0637
NWL,1.1351
AVB,0.6132
ADM,1.1045
APA,1.49
ZBH,0.9386
TSLA,1.3165
VTR,0.5519
BAX,0.7138
ZTS,0.9306
WY,0.9915
PPL,0.6317
SYF,0.4646
HCA,0.9102
DFS,1.1011
DVN,1.7084
ED,0.3313
EQR,0.6288
EIX,0.4471
AZO,0.7213
LNKD,1.1548
SHW,0.9475
STJ,0.9304
BHI,1.3378
CBS,1.1154
FISV,1.084
STI,1.2969
TSN,0.6952
MAR,1.1616
VRTX,1.5809
MPC,1.399
PEG,0.6004
WMB,1.947
XEL,0.4685
LVS,1.349
NEM,0.4582
BXP,0.8144
CAG,0.7071
MNST,0.8418
CMI,1.1058
PCAR,1.227
OMC,0.9434
DG,0.6516
CCL,1.131
ADI,1.2203
IP,1.0822
APH,1.2891
DLPH,1.3859
AAL,1.406
CXO,1.5573
NLSN,0.9818
K,0.6173
EL,0.8714
VFC,0.7114
WEC,0.4826
TAP,0.8718
PAYX,0.9016
MU,1.7535
SWK,0.9853
MCO,1.2829
PGR,0.8225
ROP,1.0288
CERN,1.0205
DLTR,0.7924
HCP,0.6044
UAL,1.309
IR,1.1954
MYL,1.2737
VNO,0.8093
MTB,1.0735
O,0.4614
ES,0.4445
LB,0.9014
DPS,0.6333
DTE,0.5351
HIG,1.1387
PH,1.2237
WDC,1.4617
BCR,0.7946
CLX,0.5064
TROW,1.1612
EFX,1.017
FLT,1.3074
GGP,0.8009
ROK,1.1633
BMRN,1.4226
NUE,1.2152
SJM,0.6815
AMP,1.4971
FITB,1.3162
FTV,-0.3176
SYMC,0.8968
INCY,1.6351
A,1.2559
ADSK,1.3565
NBL,1.5034
HES,1.499
LRCX,1.2817
VMC,1.185
MJN,0.9034
CTL,0.9019
GPC,0.976
RHT,1.1725
TWTR,0.7355
ESS,0.6839
TDG,0.8844
SWKS,1.6377
FCX,2.1318
ABC,0.7019
DLR,0.6346
LLTC,1.0159
FE,0.6093
NTRS,1.2753
LH,0.8227
BLL,0.9549
SBAC,0.9806
EXPE,1.2932
ULTA,0.864
NOV,1.1337
PANW,1.3251
XLNX,1.0551
PFG,1.5122
ETR,0.5184
XRAY,0.8678
LVLT,1.2611
HSY,0.649
MRO,1.7783
AA,1.4789
HSIC,0.9124
TMUS,1.0069
AWK,0.4547
MSI,0.7856
CTXS,1.2302
VIAB,1.2184
KEY,1.3653
CFG,1.3016
MCHP,1.1978
IVZ,1.5963
BEN,1.3849
PRGO,0.9176
MKL,0.7442
RCL,1.4001
XEC,1.5105
RF,1.4057
EQT,0.9554
NOW,1.5443
VRSK,0.7863
GWW,0.8781
TRI,0.8259
ADS,1.1938
MHK,1.1936
MGM,1.5641
CHD,0.5622
WAT,0.9932
WRK,1.1525
FOX,1.0501
DISH,1.1023
WHR,1.2155
HLT,1.0577
FAST,1.0339
DGX,0.8997
CMG,0.679
AEE,0.5191
RSG,0.64
COG,1.0686
GPN,1.1428
KIM,0.7871
CMS,0.4903
MAC,0.791
LLL,0.9256
MKC,0.7042
AYI,1.1255
L,0.9203
HST,1.179
M,0.8574
HRS,1.0119
IFF,1.0375
MAS,1.1815
MLM,1.2166
CINF,0.8814
DOV,1.2131
MXIM,1.0264
FRC,1.0775
LNC,1.6689
CNC,1.0024
DVA,0.7294
MTD,1.1043
AME,1.127
COL,0.9306
FRT,0.6615
KLAC,0.9966
HOLX,0.9791
LKQ,1.0711
OKE,1.529
TXT,1.3665
NLY,0.3136
WDAY,1.5156
PNR,1.3052
HBAN,1.2486
BBY,0.9811
AAP,0.9272
SLG,0.9181
UHS,0.9775
NTAP,1.0398
DVMT,1.0249
MAT,0.851
KMX,1.2691
HRL,0.7088
WU,1.115
COH,0.962
CPB,0.6388
XRX,1.2866
DHI,1.3037
KSU,1.2952
VER,0.7081
CHRW,0.761
CNP,0.8094
IDXX,0.7246
CTAS,0.9101
EMN,1.1804
CE,1.265
IRM,0.8547
FNF,0.7191
CA,1.0462
EXR,0.6258
ALB,1.2444
UDR,0.665
INGR,0.8623
HBI,1.308
HOG,1.1191
TSO,1.1859
VAR,0.9447
DRE,0.8648
